"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред","Број одељења - пети разред","Број комбинованих одељења - пети разред","Број специјалних одељења - пети разред","Број ученика - пети разред","Број девојчица - пети разред","Број ИОП-а 1 - пети разред","Број ИОП-а 2 - пети разред","Број ИОП-а 3 - пети разред","Број одељења - шести разред","Број комбинованих одељења - шести разред","Број специјалних одељења - шести разред","Број ученика - шести разред","Број девојчица - шести разред","Број ИОП-а 1 - шести разред","Број ИОП-а 2 - шести разред","Број ИОП-а 3 - шести разред","Број одељења - седми разред","Број комбинованих одељења - седми разред","Број специјалних одељења - седми разред","Број ученика - седми разред","Број девојчица - седми разред","Број ИОП-а 1 - седми разред","Број ИОП-а 2 - седми разред","Број ИОП-а 3 - седми разред","Број одељења - осми разред","Број комбинованих одељења - осми разред","Број специјалних одељења - осми разред","Број ученика - осми разред","Број девојчица - осми разред","Број ИОП-а 1 - осми разред","Број ИОП-а 2 - осми разред","Број ИОП-а 3 - осми разред"
"1.","1","Државно","Град Београд","Београд - Барајево","Павле Поповић","Основно редовно образовање","Основно образовање","8","Српски језик","4","1","0","62","35","0","0","0","4","1","0","70","35","0","0","0","5","1","0","66","33","2","2","0","4","1","0","67","31","1","2","2","3","0","0","72","27","3","0","0","3","0","0","62","29","0","1","0","3","0","0","81","34","1","2","2","3","0","0","59","31","2","1","0"
"2.","2","Државно","Град Београд","Београд - Барајево","Кнез Сима Марковић","Основно редовно образовање","Основно образовање","8","Српски језик","15","9","0","148","64","0","0","0","17","10","0","172","78","3","0","0","17","9","0","178","90","1","1","0","15","9","0","168","65","7","0","0","6","0","0","151","75","8","0","0","8","0","0","174","78","4","0","0","7","0","0","173","88","6","0","0","8","0","0","170","92","6","0","0"
"3.","3","Државно","Град Београд","Београд - Вождовац","Бора Станковић","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","122","54","1","0","0","5","0","0","119","52","2","0","0","4","0","0","97","62","1","0","0","5","0","0","120","46","1","0","0","3","0","0","78","44","0","0","0","4","0","0","99","44","0","0","0","4","0","0","111","56","0","0","0","4","0","0","100","46","0","1","0"
"4.","4","Државно","Град Београд","Београд - Вождовац","Змај Јова Јовановић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","87","49","0","0","0","6","1","1","122","66","2","2","0","7","1","1","154","86","0","2","0","4","0","0","99","39","1","0","0","5","1","1","111","54","3","2","0","5","1","1","114","59","2","1","0","4","0","0","108","45","3","0","0","6","1","1","108","42","2","2","0"
"5.","5","Државно","Град Београд","Београд - Вождовац","Ђура Даничић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","107","53","0","0","0","4","0","0","93","49","0","0","0","4","0","0","100","43","1","0","0","3","0","0","86","39","0","0","0","4","0","0","93","42","0","0","0","3","0","0","61","32","6","0","0","3","0","0","69","36","0","0","0","3","0","0","74","36","1","2","0"
"6.","6","Државно","Град Београд","Београд - Вождовац","Карађорђе","Основно редовно образовање","Основно образовање","8","Српски језик","5","0","0","140","71","0","0","0","4","0","0","113","53","0","0","0","4","0","0","113","51","0","0","0","4","0","0","108","54","0","0","0","4","0","0","109","52","0","0","0","4","0","0","100","50","0","1","0","4","0","0","95","52","1","0","0","3","0","0","84","28","1","0","0"
"7.","7","Државно","Град Београд","Београд - Вождовац","Милан Ђ. Милићевић","Основно редовно образовање","Основно образовање","8","Српски језик","7","0","0","200","98","0","0","0","7","0","0","190","101","0","0","0","6","0","0","185","87","0","0","0","7","0","0","192","92","2","0","0","6","0","0","186","103","0","0","0","6","0","0","182","81","0","1","0","6","0","0","177","86","0","2","0","6","0","0","177","99","5","1","0"
"8.","8","Државно","Град Београд","Београд - Вождовац","Јанко Веселиновић","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","109","52","2","0","0","5","0","0","148","70","1","0","0","5","0","0","132","70","0","2","0","4","0","0","108","54","1","0","0","5","0","0","118","62","4","0","0","5","0","0","125","73","1","0","0","4","0","0","114","50","0","0","0","5","0","0","127","64","1","1","0"
"9.","9","Државно","Град Београд","Београд - Вождовац","Доситеј Обрадовић","Основно редовно образовање","Основно образовање","8","Српски језик","3","0","0","77","33","1","0","0","2","0","0","60","23","0","0","0","3","0","0","74","36","0","1","0","3","0","0","62","27","3","0","0","3","1","1","55","24","1","4","0","2","0","0","52","28","1","0","0","2","0","0","53","28","0","1","0","2","0","0","48","22","2","0","0"
"10.","10","Државно","Град Београд","Београд - Вождовац","Веселин Маслеша","Основно редовно образовање","Основно образовање","8","Српски језик","4","0","0","109","56","0","0","0","5","0","0","121","64","0","0","0","4","0","0","97","50","2","1","0","4","0","0","103","49","0","0","0","4","0","0","99","45","0","0","0","5","0","0","120","66","2","0","0","4","0","0","96","52","0","0","0","4","0","0","116","59","0","0","0"
